id,nama_rsu,jenis_rsu,location/alamat,location/latitude,location/longitude,kode_pos,telepon/0,telepon/1,telepon/2,faximile/0,faximile/1,website,email,kode_kota,kode_kecamatan,kode_kelurahan,latitude,longitude,shape
105,Johar Baru,Rumah Sakit Umum Kecamatan,Jalan  Tanah Tinggi XII,-6.181071,106.849373,10540, 4246359,,,4224041,,,,3173,3173040,3173040003,-6.181071,106.849373,POINT(106.849373 -6.181071)
106,Kemayoran,Rumah Sakit Umum Kecamatan,Jalan  Serdang Baru I,-6.1608,106.862289,10650,4801847,,,4801846,,,rsukemayoran@gmail.com,3173,3173060,3173060004,-6.1608,106.862289,POINT(106.862289 -6.1608)
107,Koja,Rumah Sakit Umum Kecamatan,Jalan  Walang Permai  Nomor 39,-6.127233,106.906982,14260,43905651,4358809,,,,,,3175,3175040,3175040003,-6.127233,106.906982,POINT(106.906982 -6.127233)
108,Cilincing,Rumah Sakit Umum Kecamatan,Jalan  Madya Kebantenan  Nomor 4,-6.118146,106.927902,14130,4412889,4416367,,4412889,4416367,,,3175,3175060,3175060005,-6.118146,106.927902,POINT(106.927902 -6.118146)
109,Pademangan,Rumah Sakit Umum Kecamatan,Jalan  Budi Mulia Raya  Nomor 2  RT.0015 / RW.011,-6.133254,106.839401,14420,021-6452346,,,,,,,3175,3175020,3175020001,-6.133254,106.839401,POINT(106.839401 -6.133254)
110,Kembangan,Rumah Sakit Umum Kecamatan,Jalan  Topaz Blok F2  Nomor 3,-6.181012,106.733223,11620,5870834,,,,,,,3174,3174010,3174010006,-6.181012,106.733223,POINT(106.733223 -6.181012)
111,Kalideres,Rumah Sakit Umum Kecamatan,Jalan  Satu Maret  Nomor 48  RT.001 / RW.04,-6.128841,106.704369,11830,54390576,,,54390576,,,rsukalideres@gmail.com,3174,3174080,3174080003,-6.128841,106.704369,POINT(106.704369 -6.128841)
112,Jagakarsa,Rumah Sakit Umum Kecamatan,Jalan  Mohamad Kahfi 1  Nomor 27 A,-6.311328,106.813515,12620,7864707,,,,,,,3171,3171010,3171010004,-6.311328,106.813515,POINT(106.813515 -6.311328)
113,Tebet,Rumah Sakit Umum Kecamatan,"Jalan  Prof. Supomo, SH  Nomor 54",-6.231592,106.846008,12810,8314955,,,8296918,,,,3171,3171090,3171090002,-6.231592,106.846008,POINT(106.846008 -6.231592)
114,Mampang Prapatan,Rumah Sakit Umum Kecamatan,Jalan  Kapten Tendean  Nomor 9,-6.240428,106.826988,12790,79192187,,,,,,,3171,3171070,3171070004,-6.240428,106.826988,POINT(106.826988 -6.240428)
115,Pesanggrahan,Rumah Sakit Umum Kecamatan,Jalan  Cenek I  Nomor 1,-6.258924,106.75766,12320,7356087,,,,,,,3171,3171040,3171040002,-6.258924,106.75766,POINT(106.75766 -6.258924)
116,Kramat Jati,Rumah Sakit Umum Kecamatan,Jalan  Raya Inpres  Nomor 48,-6.28674,106.862251,13540,87791152,87793604,, 87793604,,,,3172,3172050,3172050003,-6.28674,106.862251,POINT(106.862251 -6.28674)
117,Ciracas,Rumah Sakit Umum Kecamatan,Jalan  Raya Lapangan Tembak,-6.25801,106.905167,13720,8718995,,,,,,,3172,3172040,3172040004,-6.25801,106.905167,POINT(106.905167 -6.25801)
